20000,0.0024973
20025,0.0028635
20050,0.0033224
20075,0.0039088
20100,0.0046763
20125,0.0057096
20150,0.0071497
20175,0.0092447
20200,0.012464
20225,0.017775
20250,0.027427
20275,0.04745
20300,0.096771
20325,0.22516
20350,0.28281
20375,0.13113
20400,0.060596
20425,0.033745
20450,0.021716
20475,0.015561
20500,0.01215
20525,0.010215
20550,0.0091899
20575,0.0088178
20600,0.0090101
20625,0.0098019
20650,0.011368
20675,0.014115
20700,0.01893
20725,0.027924
20750,0.046984
20775,0.097394
20800,0.29571
20825,1.0692
20850,0.33089
20875,0.10418
20900,0.048681
20925,0.02802
20950,0.018227
20975,0.012838
21000,0.0095598
